images,labels
Trout/Trout/00157.png,Trout/TroutGT/00157.png
Trout/Trout/00266.png,Trout/TroutGT/00266.png
Trout/Trout/00273.png,Trout/TroutGT/00273.png
Trout/Trout/00645.png,Trout/TroutGT/00645.png
Trout/Trout/00582.png,Trout/TroutGT/00582.png
Trout/Trout/00169.png,Trout/TroutGT/00169.png
Trout/Trout/00259.png,Trout/TroutGT/00259.png
Trout/Trout/00878.png,Trout/TroutGT/00878.png
Trout/Trout/00588.png,Trout/TroutGT/00588.png
Trout/Trout/00759.png,Trout/TroutGT/00759.png
Trout/Trout/00326.png,Trout/TroutGT/00326.png
Trout/Trout/00850.png,Trout/TroutGT/00850.png
Trout/Trout/00742.png,Trout/TroutGT/00742.png
Trout/Trout/00001.png,Trout/TroutGT/00001.png
Trout/Trout/00953.png,Trout/TroutGT/00953.png
Trout/Trout/00453.png,Trout/TroutGT/00453.png
Trout/Trout/00176.png,Trout/TroutGT/00176.png
Trout/Trout/00452.png,Trout/TroutGT/00452.png
Trout/Trout/00483.png,Trout/TroutGT/00483.png
Trout/Trout/00270.png,Trout/TroutGT/00270.png
Trout/Trout/00067.png,Trout/TroutGT/00067.png
Trout/Trout/00382.png,Trout/TroutGT/00382.png
Trout/Trout/00895.png,Trout/TroutGT/00895.png
Trout/Trout/00801.png,Trout/TroutGT/00801.png
Trout/Trout/00362.png,Trout/TroutGT/00362.png
Trout/Trout/00528.png,Trout/TroutGT/00528.png
Trout/Trout/00223.png,Trout/TroutGT/00223.png
Trout/Trout/00252.png,Trout/TroutGT/00252.png
Trout/Trout/00024.png,Trout/TroutGT/00024.png
Trout/Trout/00609.png,Trout/TroutGT/00609.png
Trout/Trout/00728.png,Trout/TroutGT/00728.png
Trout/Trout/00267.png,Trout/TroutGT/00267.png
Trout/Trout/00102.png,Trout/TroutGT/00102.png
Trout/Trout/00575.png,Trout/TroutGT/00575.png
Trout/Trout/00332.png,Trout/TroutGT/00332.png
Trout/Trout/00901.png,Trout/TroutGT/00901.png
Trout/Trout/00130.png,Trout/TroutGT/00130.png
Trout/Trout/00083.png,Trout/TroutGT/00083.png
Trout/Trout/00605.png,Trout/TroutGT/00605.png
Trout/Trout/00789.png,Trout/TroutGT/00789.png
Trout/Trout/00883.png,Trout/TroutGT/00883.png
Trout/Trout/00078.png,Trout/TroutGT/00078.png
Trout/Trout/00166.png,Trout/TroutGT/00166.png
Trout/Trout/00726.png,Trout/TroutGT/00726.png
Trout/Trout/00952.png,Trout/TroutGT/00952.png
Trout/Trout/00715.png,Trout/TroutGT/00715.png
Trout/Trout/00391.png,Trout/TroutGT/00391.png
Trout/Trout/00199.png,Trout/TroutGT/00199.png
Trout/Trout/00473.png,Trout/TroutGT/00473.png
Trout/Trout/00237.png,Trout/TroutGT/00237.png
Trout/Trout/00059.png,Trout/TroutGT/00059.png
Trout/Trout/00447.png,Trout/TroutGT/00447.png
Trout/Trout/00616.png,Trout/TroutGT/00616.png
Trout/Trout/00422.png,Trout/TroutGT/00422.png
Trout/Trout/00294.png,Trout/TroutGT/00294.png
Trout/Trout/00143.png,Trout/TroutGT/00143.png
Trout/Trout/00672.png,Trout/TroutGT/00672.png
Trout/Trout/00907.png,Trout/TroutGT/00907.png
Trout/Trout/00929.png,Trout/TroutGT/00929.png
Trout/Trout/00806.png,Trout/TroutGT/00806.png
Trout/Trout/00872.png,Trout/TroutGT/00872.png
Trout/Trout/00601.png,Trout/TroutGT/00601.png
Trout/Trout/00708.png,Trout/TroutGT/00708.png
Trout/Trout/00462.png,Trout/TroutGT/00462.png
Trout/Trout/00255.png,Trout/TroutGT/00255.png
Trout/Trout/00224.png,Trout/TroutGT/00224.png
Trout/Trout/00417.png,Trout/TroutGT/00417.png
Trout/Trout/00690.png,Trout/TroutGT/00690.png
